clade	model_id	species	assembly_accession
Spiralia	v5ej8oyt	Schizoporella errata	GCA_980783175.1
Spiralia	v5ej8oyt	Schmidtea polychroa	GCA_044892525.1
Spiralia	v5ej8oyt	Sclerolinum annulatum	GCA_978021825.1
Spiralia	v5ej8oyt	Scurria scurra	GCA_044232375.1
Spiralia	v5ej8oyt	Sepiola affinis	GCA_964339045.1
Spiralia	v5ej8oyt	Serpula vermicularis	GCA_966197015.1
Spiralia	v5ej8oyt	Siboglinum fiordicum	GCA_965260885.1
Spiralia	v5ej8oyt	Sigalion mathildae	GCA_977061885.1
Spiralia	v5ej8oyt	Sinanodonta woodiana	GCA_046254885.1
Spiralia	v5ej8oyt	Sinospelaeobdella cavatuses	GCA_041222645.1
Spiralia	v5ej8oyt	Siphonaria pectinata	GCA_978134735.1
Spiralia	v5ej8oyt	Siphonodentalium dalli	GCA_032622095.1
Spiralia	v5ej8oyt	Sipunculus nudus	GCA_026874595.2
Spiralia	v5ej8oyt	Sparganum proliferum	GCA_053814205.1
Spiralia	v5ej8oyt	Sphaerium corneum	GCA_965230695.1
Spiralia	v5ej8oyt	Spirometra sp Aus1	GCA_051168835.1
Spiralia	v5ej8oyt	Sthenelais limicola	GCA_942159475.1
Spiralia	v5ej8oyt	Stigmatoteuthis arcturi	GCA_964276865.2
Spiralia	v5ej8oyt	Stramonita haemastoma	GCA_030674155.1
Spiralia	v5ej8oyt	Streblospio benedicti	GCA_019095985.1
Spiralia	v5ej8oyt	Striarca lactea	GCA_977012395.1
Spiralia	v5ej8oyt	Taenia pisiformis	GCA_023968675.1
Spiralia	v5ej8oyt	Testudinalia testudinalis	GCA_977013425.1
Spiralia	v5ej8oyt	Themiste lageniformis	GCA_964194385.1
Spiralia	v5ej8oyt	Thermocollonia jamsteci	GCA_049901935.1
Spiralia	v5ej8oyt	Thracia phaseolina	GCA_964274215.1
Spiralia	v5ej8oyt	Thylacodes arenarius	GCA_973495645.1
Spiralia	v5ej8oyt	Thysanoteuthis rhombus	GCA_963457665.1
Spiralia	v5ej8oyt	Triaenophorus nodulosus	GCA_977118345.1
Spiralia	v5ej8oyt	Trichobilharzia regenti	GCA_944472135.2
Spiralia	v5ej8oyt	Tricolia pullus	GCA_964273465.1
Spiralia	v5ej8oyt	Trochonerilla sp QMOUL0000090	GCA_978898905.1
Spiralia	v5ej8oyt	Tubulanus polymorphus	GCF_964204645.1
Spiralia	v5ej8oyt	Tylodina rafinesquii	GCA_978679055.1
Spiralia	v5ej8oyt	Urechis unicinctus	GCA_034190875.2
Spiralia	v5ej8oyt	Verpa penis	GCA_048126915.1
Spiralia	v5ej8oyt	Watersipora subatra	GCF_963576615.1
Spiralia	v5ej8oyt	Whitmania acranulata	GCA_041381225.1
Spiralia	v5ej8oyt	Xylophaga dorsalis	GCA_965225065.2
Stramenopiles	r6p9z9jw	Asterionellopsis sp RCC1712	GCA_977969985.1
Stramenopiles	r6p9z9jw	Bilabrum cf latius	GCA_965178125.1
Stramenopiles	r6p9z9jw	Bremia lactucae	GCF_004359215.1
Stramenopiles	r6p9z9jw	Ectocarpus siliculosus	GCA_000310025.1
Stramenopiles	r6p9z9jw	Ectocarpus sp Ec32	GCA_004764655.1
Stramenopiles	r6p9z9jw	Epithemia catenata	GCA_964019935.2
Stramenopiles	r6p9z9jw	Epithemia pelagica	GCA_946965045.2
Stramenopiles	r6p9z9jw	Fistulifera solaris	GCA_030295235.1
Stramenopiles	r6p9z9jw	Hydrurus foetidus	GCA_978795795.1
Stramenopiles	r6p9z9jw	Minutocellus sp GHC0000111	GCA_977018835.1
Stramenopiles	r6p9z9jw	Nannochloropsis gaditana	GCA_002838785.1
Stramenopiles	r6p9z9jw	Nannochloropsis oceanica	GCA_051622145.2
Stramenopiles	r6p9z9jw	Nitzschia sp DOCU1	GCA_951394045.1
Stramenopiles	r6p9z9jw	Nitzschia sp pyKryTriq1	GCA_956465555.1
Stramenopiles	r6p9z9jw	Pelagomonas sp RCC986	GCA_978041885.1
Stramenopiles	r6p9z9jw	Peronosclerospora sorghi	GCA_026184515.1
Stramenopiles	r6p9z9jw	Phaeodactylum tricornutum	GCF_000150955.2
Stramenopiles	r6p9z9jw	Phaeosaccion multiseriatum	GCA_965112735.1
Stramenopiles	r6p9z9jw	Plagiogrammopsis vanheurckii	GCA_978489235.1
Stramenopiles	r6p9z9jw	Pseudo nitzschia delicatissima	GCA_037355735.1
Stramenopiles	r6p9z9jw	Pseudo nitzschia multiseries	GCA_037355745.1
Stramenopiles	r6p9z9jw	Pseudo nitzschia pungens	GCA_037355855.1
Stramenopiles	r6p9z9jw	Pythium sp B7052 1	GCA_054083355.1
Stramenopiles	r6p9z9jw	Saccharina japonica	GCA_048937375.1
Stramenopiles	r6p9z9jw	Saccharina sculpera	GCA_052056835.1
Stramenopiles	r6p9z9jw	Skeletonema costatum	GCA_046619385.1
Stramenopiles	r6p9z9jw	Skeletonema marinoi	GCA_030544225.1
Stramenopiles	r6p9z9jw	Skeletonema tropicum	GCA_037178625.1
Stramenopiles	r6p9z9jw	Tabularia sp RCC1743	GCA_980915175.1
Stramenopiles	r6p9z9jw	Thalassiosira pseudonana	GCF_000149405.2
Stramenopiles	r6p9z9jw	Undaria pinnatifida	GCA_020975765.1
Stramenopiles	r6p9z9jw	Veerella sp RCC6043	GCA_977862215.1
Streptophyta	j9m0cdmk	Acanthochlamys bracteata	GCA_019914995.1
Streptophyta	j9m0cdmk	Acorus calamus	GCA_030737845.1
Streptophyta	j9m0cdmk	Acrolejeunea sandvicensis	GCA_050084415.1
Streptophyta	j9m0cdmk	Actinidia chinensis	GCA_051903715.1
Streptophyta	j9m0cdmk	Adiantum capillus veneris	GCA_014529385.2
Streptophyta	j9m0cdmk	Agapanthus africanus	GCA_030015575.1
Streptophyta	j9m0cdmk	Agastache foeniculum	GCA_054883455.1
Streptophyta	j9m0cdmk	Agrostemma githago	GCA_958450325.1
Streptophyta	j9m0cdmk	Akebia trifoliata	GCA_017979445.1
Streptophyta	j9m0cdmk	Alisma plantago aquatica	GCA_963693085.1
Streptophyta	j9m0cdmk	Allium cepa	GCA_030765085.1
Streptophyta	j9m0cdmk	Alpinia oxyphylla	GCA_051943365.1
Streptophyta	j9m0cdmk	Amaranthus hybridus	GCA_048406975.1
Streptophyta	j9m0cdmk	Amborella trichopoda	GCA_054954075.1
Streptophyta	j9m0cdmk	Ananas comosus	GCF_001540865.1
Streptophyta	j9m0cdmk	Anchusa arvensis	GCA_977871625.1
Streptophyta	j9m0cdmk	Andreaea nivalis	GCA_965637445.2
Streptophyta	j9m0cdmk	Annona cherimola	GCA_030490835.1
Streptophyta	j9m0cdmk	Anthurium amnicola	GCA_041870085.1
Streptophyta	j9m0cdmk	Aponogeton distachyos	GCA_965152715.1
Streptophyta	j9m0cdmk	Aquilegia vulgaris	GCA_964291885.1
Streptophyta	j9m0cdmk	Archidium alternifolium	GCA_050084235.1
Streptophyta	j9m0cdmk	Aristolochia fimbriata	GCA_019845555.1
Streptophyta	j9m0cdmk	Aulacomnium androgynum	GCA_975146365.1
Streptophyta	j9m0cdmk	Avicennia marina	GCA_019155195.1
Streptophyta	j9m0cdmk	Berberis aquifolium	GCA_965233575.1
Streptophyta	j9m0cdmk	Bertholletia excelsa	GCA_039639745.1
Streptophyta	j9m0cdmk	Blasia pusilla	GCA_050084515.1
Streptophyta	j9m0cdmk	Bougainvillea glabra	GCA_045838725.1
Streptophyta	j9m0cdmk	Brainea insignis	GCA_053925095.1
Streptophyta	j9m0cdmk	Brasenia schreberi	GCA_030142015.1
Streptophyta	j9m0cdmk	Bryoxiphium norvegicum	GCA_050084295.1
Streptophyta	j9m0cdmk	Buxus sempervirens	GCA_947561395.3
Streptophyta	j9m0cdmk	Calotropis procera	GCA_047371215.1
Streptophyta	j9m0cdmk	Camellia sinensis	GCA_055761805.1
Streptophyta	j9m0cdmk	Canna indica	GCA_034359265.1
Streptophyta	j9m0cdmk	Carallia pectinifolia	GCA_037832335.1
Streptophyta	j9m0cdmk	Carex hirta	GCA_965112215.1
Streptophyta	j9m0cdmk	Carica papaya	GCA_055471575.1
Streptophyta	j9m0cdmk	Carpobrotus edulis	GCA_965788445.1
Streptophyta	j9m0cdmk	Ceratodon purpureus	GCA_014871385.1
Streptophyta	j9m0cdmk	Chamaerops humilis	GCA_055376905.1
Streptophyta	j9m0cdmk	Chimonanthus praecox	GCA_022113865.1
Streptophyta	j9m0cdmk	Chionographis japonica	GCA_947650365.1
Streptophyta	j9m0cdmk	Chloranthus sessilifolius	GCA_021018995.1
Streptophyta	j9m0cdmk	Cibotium barometz	GCA_041138505.1
Streptophyta	j9m0cdmk	Circaeaster agrestis	GCA_047371235.1
Streptophyta	j9m0cdmk	Cistus crispus	GCA_965213365.2
Streptophyta	j9m0cdmk	Citrullus lanatus	GCA_039639715.1
Streptophyta	j9m0cdmk	Claytonia sibirica	GCA_977969855.1
Streptophyta	j9m0cdmk	Codonopsis pilosula	GCA_040869085.1
Streptophyta	j9m0cdmk	Colocasia esculenta	GCA_053894955.1
Streptophyta	j9m0cdmk	Conocephalum conicum	GCA_050084475.1
Streptophyta	j9m0cdmk	Convolvulus arvensis	GCA_964199945.1
Streptophyta	j9m0cdmk	Coptis teeta	GCA_052059685.1
Streptophyta	j9m0cdmk	Cornus controversa	GCA_026545225.1
Streptophyta	j9m0cdmk	Corydalis saxicola	GCA_047716255.1
Streptophyta	j9m0cdmk	Costus allenii	GCA_047495955.1
Streptophyta	j9m0cdmk	Crocus tommasinianus	GCA_966184185.1
Streptophyta	j9m0cdmk	Cryptocoryne crispatula	GCA_036172225.1
Streptophyta	j9m0cdmk	Cyathodium cavernarum	GCA_050084455.1
Streptophyta	j9m0cdmk	Cymodocea nodosa	GCA_036874045.1
Streptophyta	j9m0cdmk	Dendrobium nobile	GCA_022539455.1
Streptophyta	j9m0cdmk	Didymodon rigidulus	GCA_975145935.1
Streptophyta	j9m0cdmk	Dioscorea cayenensis	GCF_009730915.1
Streptophyta	j9m0cdmk	Diospyros kaki	GCA_028777405.1
Streptophyta	j9m0cdmk	Diphasiastrum complanatum	GCA_029204225.1
Streptophyta	j9m0cdmk	Diphyscium fulvifolium	GCA_050084335.1
Streptophyta	j9m0cdmk	Dipteris shenzhenensis	GCA_047967505.1
Streptophyta	j9m0cdmk	Dracaena cambodiana	GCA_036321105.2
Streptophyta	j9m0cdmk	Dysphania ambrosioides	GCA_026401315.1
Streptophyta	j9m0cdmk	Encalypta ciliata	GCA_976988785.1
Streptophyta	j9m0cdmk	Erica ciliaris	GCA_965212355.2
Streptophyta	j9m0cdmk	Erodium maritimum	GCA_963921825.1
Streptophyta	j9m0cdmk	Erythranthe guttata	GCA_051942635.1
Streptophyta	j9m0cdmk	Erythropalum scandens	GCA_051306975.1
Streptophyta	j9m0cdmk	Erythroxylum novogranatense	GCA_029891385.1
Streptophyta	j9m0cdmk	Eucommia ulmoides	GCA_016647705.1
Streptophyta	j9m0cdmk	Euonymus europaeus	GCA_963580455.1
Streptophyta	j9m0cdmk	Euphrasia confusa	GCA_954870475.1
Streptophyta	j9m0cdmk	Euptelea pleiosperma	GCA_035048495.1
Streptophyta	j9m0cdmk	Euryodendron excelsum	GCA_033060915.1
Streptophyta	j9m0cdmk	Ficus carica	GCA_042847195.1
Streptophyta	j9m0cdmk	Flueggea virosa	GCA_038789575.1
Streptophyta	j9m0cdmk	Fraxinus americana	GCA_051941045.1
Streptophyta	j9m0cdmk	Funaria hygrometrica	GCA_976987255.1
Streptophyta	j9m0cdmk	Hakea prostrata	GCA_041222555.2
Streptophyta	j9m0cdmk	Hedwigia ciliata	GCA_050084075.1
Streptophyta	j9m0cdmk	Hemerocallis citrina	GCA_017893485.1
Streptophyta	j9m0cdmk	Herbertus hutchinsiae	GCA_965112325.1
Streptophyta	j9m0cdmk	Hevea brasiliensis	GCF_030052815.1
Streptophyta	j9m0cdmk	Holcus mollis	GCA_965644105.1
Streptophyta	j9m0cdmk	Hydrangea macrophylla	GCA_033977485.1
Streptophyta	j9m0cdmk	Hypericum perforatum	GCA_965644135.1
Streptophyta	j9m0cdmk	Ilex aquifolium	GCA_951799425.1
Streptophyta	j9m0cdmk	Impatiens noli tangere	GCA_965213615.1
Streptophyta	j9m0cdmk	Iris foetidissima	GCA_964204905.1
Streptophyta	j9m0cdmk	Jacaranda mimosifolia	GCA_018894105.1
Streptophyta	j9m0cdmk	Juncus effusus	GCA_027726005.1
Streptophyta	j9m0cdmk	Lemna minuta	GCA_024174645.1
Streptophyta	j9m0cdmk	Lepidozia cupressina	GCA_965644175.1
Streptophyta	j9m0cdmk	Limonium bicolor	GCA_023374045.1
Streptophyta	j9m0cdmk	Linaria vulgaris	GCA_948329865.1
Streptophyta	j9m0cdmk	Linum usitatissimum	GCA_054134595.1
Streptophyta	j9m0cdmk	Liquidambar styraciflua	GCA_041721615.1
Streptophyta	j9m0cdmk	Lonicera japonica	GCA_021464415.1
Streptophyta	j9m0cdmk	Lunularia cruciata	GCA_948567375.1
Streptophyta	j9m0cdmk	Lygodium microphyllum	GCA_053477565.1
Streptophyta	j9m0cdmk	Magnolia kwangsiensis	GCA_037074715.1
Streptophyta	j9m0cdmk	Malania oleifera	GCF_029873635.1
Streptophyta	j9m0cdmk	Marchantia polymorpha	GCA_037833965.1
Streptophyta	j9m0cdmk	Marsupella aquatica	GCA_973895155.1
Streptophyta	j9m0cdmk	Mastigophora woodsii	GCA_965642095.1
Streptophyta	j9m0cdmk	Monosolenium tenerum	GCA_041684035.1
Streptophyta	j9m0cdmk	Musa acuminata	GCF_036884655.1
Streptophyta	j9m0cdmk	Myriophyllum sibiricum	GCA_977013075.1
Streptophyta	j9m0cdmk	Narthecium ossifragum	GCA_963920575.1
Streptophyta	j9m0cdmk	Nelumbo nucifera	GCA_055504915.1
Streptophyta	j9m0cdmk	Nothapodytes nimmoniana	GCA_050948255.1
Streptophyta	j9m0cdmk	Nyssa sinensis	GCA_008638375.1
Streptophyta	j9m0cdmk	Oedipodium griffithianum	GCA_977872475.1
Streptophyta	j9m0cdmk	Oenanthe javanica	GCA_048932635.1
Streptophyta	j9m0cdmk	Oresitrophe rupifraga	GCA_054131585.1
Streptophyta	j9m0cdmk	Orthotrichum anomalum	GCA_050084045.1
Streptophyta	j9m0cdmk	Oxalis stricta	GCA_054130665.1
Streptophyta	j9m0cdmk	Panicum virgatum	GCF_016808335.1
Streptophyta	j9m0cdmk	Papaver somniferum	GCA_010119995.1
Streptophyta	j9m0cdmk	Paraleucobryum enerve	GCA_050084115.1
Streptophyta	j9m0cdmk	Paulownia tomentosa	GCA_965263725.1
Streptophyta	j9m0cdmk	Persea americana	GCA_051132755.1
Streptophyta	j9m0cdmk	Petalophyllum ralfsii	GCA_978019955.1
Streptophyta	j9m0cdmk	Pharus latifolius	GCA_019359835.1
Streptophyta	j9m0cdmk	Philonotis turneriana	GCA_050084035.1
Streptophyta	j9m0cdmk	Phyllospadix iwatensis	GCA_054667695.1
Streptophyta	j9m0cdmk	Pinus tabuliformis	GCA_031772625.1
Streptophyta	j9m0cdmk	Piper sarmentosum	GCA_050613395.1
Streptophyta	j9m0cdmk	Pistacia vera	GCA_026535395.1
Streptophyta	j9m0cdmk	Plagiochasma appendiculatum	GCA_042608515.1
Streptophyta	j9m0cdmk	Plagiochila carringtonii	GCA_977930285.1
Streptophyta	j9m0cdmk	Platanthera zijinensis	GCA_039513925.1
Streptophyta	j9m0cdmk	Platanus x hispanica	GCA_976954525.1
Streptophyta	j9m0cdmk	Pleurozia purpurea	GCA_975705895.1
Streptophyta	j9m0cdmk	Polygala serpyllifolia	GCA_965641355.1
Streptophyta	j9m0cdmk	Polygonum aviculare	GCA_934048045.1
Streptophyta	j9m0cdmk	Polytrichum commune	GCA_950295325.2
Streptophyta	j9m0cdmk	Pontederia crassipes	GCA_030549335.1
Streptophyta	j9m0cdmk	Porella arboris vitae	GCA_974392495.1
Streptophyta	j9m0cdmk	Primula kwangtungensis	GCA_054094925.1
Streptophyta	j9m0cdmk	Primulina tabacum	GCF_025594145.1
Streptophyta	j9m0cdmk	Pseudotaxiphyllum elegans	GCA_965240295.2
Streptophyta	j9m0cdmk	Ptilidium ciliare	GCA_965642335.1
Streptophyta	j9m0cdmk	Ptychostomum capillare	GCA_973799455.1
Streptophyta	j9m0cdmk	Pulsatilla chinensis	GCA_977018565.2
Streptophyta	j9m0cdmk	Pyrrhobryum spiniforme	GCA_050084015.1
Streptophyta	j9m0cdmk	Quercus rubra	GCA_035136125.1
Streptophyta	j9m0cdmk	Quillaja saponaria	GCA_029379385.1
Streptophyta	j9m0cdmk	Racomitrium heterostichum	GCA_978765405.1
Streptophyta	j9m0cdmk	Racopilum cuspidigerum	GCA_050083975.1
Streptophyta	j9m0cdmk	Radula complanata	GCA_974373415.1
Streptophyta	j9m0cdmk	Reaumuria songarica	GCA_040143545.1
Streptophyta	j9m0cdmk	Rhodiola chrysanthemifolia	GCA_040894075.1
Streptophyta	j9m0cdmk	Ribes uva crispa	GCA_965211865.1
Streptophyta	j9m0cdmk	Ricciocarpos natans	GCA_050084435.1
Streptophyta	j9m0cdmk	Salix viminalis	GCA_965648455.1
Streptophyta	j9m0cdmk	Santalum album	GCA_043873815.1
Streptophyta	j9m0cdmk	Sarracenia purpurea	GCA_051027295.1
Streptophyta	j9m0cdmk	Saururus chinensis	GCA_035235625.1
Streptophyta	j9m0cdmk	Scapania undulata	GCA_978018195.1
Streptophyta	j9m0cdmk	Scilla litardierei	GCA_030789695.1
Streptophyta	j9m0cdmk	Scurrula parasitica	GCA_051363255.1
Streptophyta	j9m0cdmk	Sideroxylon spinosum	GCA_051912245.1
Streptophyta	j9m0cdmk	Solenostoma erectum	GCA_050084395.1
Streptophyta	j9m0cdmk	Sphagnum palustre	GCA_965637455.1
Streptophyta	j9m0cdmk	Staphylea pinnata	GCA_965153445.2
Streptophyta	j9m0cdmk	Stemona tuberosa	GCA_055697745.1
Streptophyta	j9m0cdmk	Stephania longa	GCA_049863475.1
Streptophyta	j9m0cdmk	Stuckenia pectinata	GCA_976940525.1
Streptophyta	j9m0cdmk	Stylosanthes angustifolia	GCA_046125935.1
Streptophyta	j9m0cdmk	Takakia lepidozioides	GCA_030704615.1
Streptophyta	j9m0cdmk	Taxus chinensis	GCA_019776745.2
Streptophyta	j9m0cdmk	Tetracentron sinense	GCA_015143295.1
Streptophyta	j9m0cdmk	Tetraphis pellucida	GCA_050084375.1
Streptophyta	j9m0cdmk	Tetraplodon mnioides	GCA_976225305.1
Streptophyta	j9m0cdmk	Thalia dealbata	GCA_030544415.1
Streptophyta	j9m0cdmk	Tigridiopalma magnifica	GCA_054741195.1
Streptophyta	j9m0cdmk	Tillandsia fasciculata	GCA_029168755.2
Streptophyta	j9m0cdmk	Timmia megapolitana	GCA_050084315.1
Streptophyta	j9m0cdmk	Tinospora sinensis	GCA_049862615.1
Streptophyta	j9m0cdmk	Tofieldia thibetica	GCA_054954025.1
Streptophyta	j9m0cdmk	Triglochin maritima	GCA_963682175.1
Streptophyta	j9m0cdmk	Typha latifolia	GCF_019914945.1
Streptophyta	j9m0cdmk	Vanilla planifolia	GCA_023846275.1
Streptophyta	j9m0cdmk	Verbascum nigrum	GCA_964305475.2
Streptophyta	j9m0cdmk	Verbena officinalis	GCA_958496215.1
Streptophyta	j9m0cdmk	Victoria cruziana	GCA_965616825.1
Streptophyta	j9m0cdmk	Viola stagnina	GCA_965234175.1
Streptophyta	j9m0cdmk	Viscum album	GCA_963277665.1
Streptophyta	j9m0cdmk	Warburgia ugandensis	GCA_035236585.1
Streptophyta	j9m0cdmk	Yunnanopilia longistaminea	GCA_054130615.1
Streptophyta	j9m0cdmk	Zygnema circumcarinatum	GCA_037447605.1
Tunicata	hcehc7ff	Aplidium elegans	GCA_978019705.1
Tunicata	hcehc7ff	Aplidium pallidum	GCA_974891035.1
Tunicata	hcehc7ff	Aplidium turbinatum	GCA_918807975.1
Tunicata	hcehc7ff	Ascidia mentula	GCA_947561715.1
Tunicata	hcehc7ff	Ascidiella aspersa	GCA_963924565.1
Tunicata	hcehc7ff	Ascidiella scabra	GCA_966096145.1
Tunicata	hcehc7ff	Asterocarpa humilis	GCA_965654205.1
Tunicata	hcehc7ff	Botrylloides diegensis	GCA_982130965.1
Tunicata	hcehc7ff	Botrylloides israeliense	GCA_979627895.1
Tunicata	hcehc7ff	Botrylloides violaceus	GCA_981691465.1
Tunicata	hcehc7ff	Corella eumyota	GCA_963082875.1
Tunicata	hcehc7ff	Corella parallelogramma	GCA_981110275.1
Tunicata	hcehc7ff	Diazona violacea	GCA_980750685.1
Tunicata	hcehc7ff	Didemnum vexillum	GCA_965643705.1
Tunicata	hcehc7ff	Diplosoma listerianum	GCA_965643625.1
Tunicata	hcehc7ff	Diplosoma spongiforme	GCA_982093745.1
Tunicata	hcehc7ff	Diplosoma virens	GCA_963680785.1
Tunicata	hcehc7ff	Distaplia bermudensis	GCA_981692175.1
Tunicata	hcehc7ff	Halocynthia papillosa	GCA_965234635.1
Tunicata	hcehc7ff	Lissoclinum perforatum	GCA_977071135.1
Tunicata	hcehc7ff	Microcosmus polymorphus	GCA_981691995.1
Tunicata	hcehc7ff	Microcosmus squamiger	GCA_977109195.1
Tunicata	hcehc7ff	Oikopleura dioica	GCA_907165135.1
Tunicata	hcehc7ff	Phallusia fumigata	GCA_964656945.1
Tunicata	hcehc7ff	Phallusia mammillata	GCF_965637545.1
Tunicata	hcehc7ff	Polycarpa mamillaris	GCA_965278745.1
Tunicata	hcehc7ff	Pycnoclavella producta	GCA_966112915.1
Tunicata	hcehc7ff	Styela clava	GCF_964204865.1
Tunicata	hcehc7ff	Styela plicata	GCA_963675895.2
Tunicata	hcehc7ff	Symplegma brakenhielmi	GCA_981692185.1
Tunicata	hcehc7ff	Thalia democratica	GCA_965202585.1
Tunicata	hcehc7ff	Trididemnum clinides	GCA_963675345.1
Tunicata	hcehc7ff	Trididemnum miniatum	GCA_964006365.1
Tunicata	hcehc7ff	Trididemnum nubilum	GCA_963965965.1
Vertebrata	etb1go6q	Acipenser ruthenus	GCF_902713425.1
Vertebrata	etb1go6q	Ahaetulla prasina	GCF_028640845.1
Vertebrata	etb1go6q	Albula goreensis	GCA_022829145.1
Vertebrata	etb1go6q	Alligator mississippiensis	GCF_030867095.1
Vertebrata	etb1go6q	Amblyopsis spelaea	GCA_046255725.1
Vertebrata	etb1go6q	Ambystoma mexicanum	GCF_040938575.1
Vertebrata	etb1go6q	Amia ocellicauda	GCF_036373705.1
Vertebrata	etb1go6q	Anguilla anguilla	GCF_013347855.1
Vertebrata	etb1go6q	Anomaloglossus baeobatrachus	GCF_048569485.1
Vertebrata	etb1go6q	Aplochiton taeniatus	GCA_017639675.1
Vertebrata	etb1go6q	Aquarana catesbeiana	GCF_042186555.1
Vertebrata	etb1go6q	Argentina silus	GCA_951799395.1
Vertebrata	etb1go6q	Argyrosomus regius	GCA_946959425.1
Vertebrata	etb1go6q	Asaccus caudivolvulus	GCA_042257475.1
Vertebrata	etb1go6q	Ascaphus truei	GCF_040206685.1
Vertebrata	etb1go6q	Astyanax mexicanus	GCF_023375975.1
Vertebrata	etb1go6q	Bagarius rutilus	GCA_053477655.1
Vertebrata	etb1go6q	Barbus barbus	GCF_936440315.1
Vertebrata	etb1go6q	Bassozetus sp 2 HX 2024	GCA_048564805.1
Vertebrata	etb1go6q	Betta splendens	GCF_900634795.4
Vertebrata	etb1go6q	Bombina bombina	GCF_027579735.1
Vertebrata	etb1go6q	Borostomias antarcticus	GCA_949987555.1
Vertebrata	etb1go6q	Brienomyrus brachyistius	GCF_023856365.1
Vertebrata	etb1go6q	Bucephala clangula	GCF_964059595.1
Vertebrata	etb1go6q	Bufotes viridis	GCA_033119425.1
Vertebrata	etb1go6q	Caesio teres	GCA_048129055.1
Vertebrata	etb1go6q	Camelus dromedarius	GCF_036321535.1
Vertebrata	etb1go6q	Canis lupus	GCF_048164855.1
Vertebrata	etb1go6q	Carcharodon carcharias	GCF_017639515.1
Vertebrata	etb1go6q	Carettochelys insculpta	GCF_033958435.1
Vertebrata	etb1go6q	Castor canadensis	GCF_047511655.1
Vertebrata	etb1go6q	Chaetodon trifascialis	GCF_039877785.1
Vertebrata	etb1go6q	Chanos chanos	GCF_902362185.1
Vertebrata	etb1go6q	Chelon labrosus	GCA_963514085.1
Vertebrata	etb1go6q	Choerodon schoenleinii	GCA_047301625.1
Vertebrata	etb1go6q	Choloepus didactylus	GCF_015220235.1
Vertebrata	etb1go6q	Conger conger	GCF_963514075.1
Vertebrata	etb1go6q	Coregonus lavaretus	GCA_964263955.1
Vertebrata	etb1go6q	Correlophus ciliatus	GCA_045269775.1
Vertebrata	etb1go6q	Cristiceps australis	GCA_049082045.1
Vertebrata	etb1go6q	Crocodylus niloticus	GCA_054825085.1
Vertebrata	etb1go6q	Cynocephalus volans	GCF_027409185.1
Vertebrata	etb1go6q	Dama dama	GCF_033118175.1
Vertebrata	etb1go6q	Dasypus novemcinctus	GCF_030445035.2
Vertebrata	etb1go6q	Dasyurus maculatus	GCA_048593245.1
Vertebrata	etb1go6q	Denticeps clupeoides	GCF_900700375.2
Vertebrata	etb1go6q	Desmognathus fuscus	GCA_050004315.1
Vertebrata	etb1go6q	Dibamus cf smithi	GCA_046126795.1
Vertebrata	etb1go6q	Diceros bicornis	GCF_020826845.1
Vertebrata	etb1go6q	Diretmus argenteus	GCA_048569125.1
Vertebrata	etb1go6q	Discoglossus pictus	GCA_027410445.1
Vertebrata	etb1go6q	Dromiciops gliroides	GCF_019393635.1
Vertebrata	etb1go6q	Dryobates pubescens	GCF_014839835.1
Vertebrata	etb1go6q	Dugong dugon	GCA_030035585.1
Vertebrata	etb1go6q	Echeneis naucrates	GCF_900963305.2
Vertebrata	etb1go6q	Electrophorus electricus	GCF_041902795.1
Vertebrata	etb1go6q	Eleutherodactylus coqui	GCF_035609145.1
Vertebrata	etb1go6q	Engystomops pustulosus	GCF_040894005.1
Vertebrata	etb1go6q	Enoplosus armatus	GCF_043641665.1
Vertebrata	etb1go6q	Eptatretus okinoseanus	GCA_041222605.1
Vertebrata	etb1go6q	Equus caballus	GCF_041296265.1
Vertebrata	etb1go6q	Erethizon dorsatum	GCA_028451465.1
Vertebrata	etb1go6q	Erinaceus europaeus	GCF_950295315.1
Vertebrata	etb1go6q	Erpetoichthys calabaricus	GCF_900747795.2
Vertebrata	etb1go6q	Esox lucius	GCF_011004845.1
Vertebrata	etb1go6q	Eublepharis macularius	GCF_028583425.1
Vertebrata	etb1go6q	Euleptes europaea	GCF_029931775.1
Vertebrata	etb1go6q	Eutrigla gurnardus	GCA_963514095.1
Vertebrata	etb1go6q	Fejervarya limnocharis	GCA_054083975.1
Vertebrata	etb1go6q	Gastrophryne carolinensis	GCA_027917425.1
Vertebrata	etb1go6q	Gavialis gangeticus	GCA_030020295.1
Vertebrata	etb1go6q	Gekko kuhli	GCA_051903775.2
Vertebrata	etb1go6q	Geotrypetes seraphini	GCF_902459505.2
Vertebrata	etb1go6q	Globicephala melas	GCF_963455315.2
Vertebrata	etb1go6q	Gonorynchus abbreviatus	GCA_054828645.1
Vertebrata	etb1go6q	Gymnothorax moringa	GCA_978019835.1
Vertebrata	etb1go6q	Gyrinocheilus aymonieri	GCA_051167395.1
Vertebrata	etb1go6q	Hemicordylus capensis	GCF_027244095.1
Vertebrata	etb1go6q	Hemiscyllium ocellatum	GCF_020745735.1
Vertebrata	etb1go6q	Heptranchias perlo	GCF_035084215.1
Vertebrata	etb1go6q	Heterodontus francisci	GCF_036365525.1
Vertebrata	etb1go6q	Heterohyrax brucei	GCA_028571685.1
Vertebrata	etb1go6q	Huso huso	GCA_036884735.1
